Designator,Footprint,Quantity,Value,LCSC Part #
BT1,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Battery_Cell,
"C1, C10, C11, C12, C13, C3, C4, C5, C6, C7, C8, C9",0402,12,100n,
"C14, C15, C16",0402,3,4.7u,
"C17, C19",0402,2,15p,
"C18, C25, C26, C27, C28, C29, C30, C31, C42, C43, C45, C60, C61, C64, C66, C67, C68, C69, C70, C71, C72, C73, C74, C75, C76, C77, C78, C79, C88",0603,29,100n,
C2,0402,1,4u7,
"C20, C21, C23, C33, C57",0603,5,10n,
"C22, C34, C35, C36, C37, C38, C39, C40, C41, C47, C63, C65",0603,12,1n,
"C24, C32",CP_EIA-2012-12_Kemet-R,2,10u,
"C44, C46",0603,2,6.8n,
"C48, C49",0603,2,10p,
"C50, C51, C52",0805,3,1u,
C53,CP_Elec_6.3x5.8,1,12u,
C54,0603,1,470p,
C55,CP_Elec_10x10.5,1,1000u,
C56,1206,1,100u,
C58,0603,1,4u7,
C59,0603,1,3.3n,
C62,0603,1,15n,
"C80, C81",0603,2,1u,
"C82, C83, C84, C86, C87",0603,5,10u,
C85,0603,1,2u2,
D1,D_SOD-123F,1,DSK24L,
D10,D_SMA,1,SS34,
D11,D_SOD-123,1,1N4148W,
D12,D_SOD-123F,1,DFTL30A,
D13,LED-SMD_4P-L1.6-W1.5-TR,1,LED_ABGR,
"D2, D3, D4, D5, D6, D7, D8, D9",D_SOD-123F,8,SL110PL-TP,
IC1,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm_ThermalVias,1,NPM1300-QEAA-R7,
J1,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,Conn_01x03_MountingPin,
"J10, J4, J6, J8",NC5FAH1-LR-DAE,4,XLR5,
"J11, J5, J7, J9",NC3FAH2-LR-DAE,4,XLR3,
J12,IDC-Header_2x06_P2.54mm_Vertical,1,IDC,
J13,PinSocket_2x04_P2.54mm_Vertical,1,Conn_02x04,
J2,USB-C_SMD-TYPE-C-31-M-12_1,1,USB_C_Receptacle_USB2.0_14P,
J3,NE8FAHLRDAE,1,RJ45,
L1,IND-SMD_L2.0-W1.6_AOTA-B201610S3R3-101-T,1,3.3u,
L2,L_Vishay_IHLP-1616,1,1u,
L3,XFMR-SMD_16P-L12.7-W7.1-P1.27-LS9.4-BL,1,H2019NLT,C110250
"L4, L5",0805,2,2u2,
"LED1, LED10, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9",LED-SMD_4P-L1.5-W1.5-BL,10,SK6805-EC15,C2890035
"R1, R27, R3",0603,3,1k,
"R11, R42, R43, R7",0603,4,10k,
"R12, R13, R14, R15",0603,4,33R,
R16,0603,1,1M,
"R17, R22, R23, R8",0603,4,0R,
R18,0603,1,10R,
R19,0603,1,12.4k,
R2,0402,1,33R,
R20,0603,1,4.99k,
R21,0603,1,2.05k,
R24,0603,1,36.5k,
R25,0603,1,12.1k,
R26,0603,1,24.9k,
"R28, R29, R30, R31, R36, R37, R38, R39",0603,8,348R,
"R32, R33, R34, R35",0603,4,133R,
"R4, R5",0402,2,27R,
"R40, R41",0603,2,430k,
R6,0402,1,1k,
"RN1, RN2",R_Array_Concave_4x0603,2,75R,
RN3,R_Array_Concave_4x0603,1,10k,
"SW1, SW2",SW_SPST_B3U-1000P,2,SW_Push,
T1,FA2924ALD,1,FA2805,
U1,QFN-80-1EP_10x10mm_P0.4mm_EP3.4x3.4mm,1,RP2350B,
"U10, U11, U8, U9",SOIC-8_3.9x4.9mm_P1.27mm,4,MAX3485,
U12,SOT-363_SC-70-6,1,TXS0101DCK,
U2,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
U3,SOT-23-6,1,USBLC6-2SC6,
U4,LQFP-48_7x7mm_P0.5mm,1,W5500,
U5,SMDIP-4_W9.53mm_Clearance8mm,1,VO618A-3X019T,
U6,QFN-20_L5.0-W5.0-P0.80-TL-EP2.8,1,SI3402-B-GMR,C510771
U7,TSOT-23,1,TLV431,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-25.000MHZ-10-D1G-T,
